"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"8/18/2017","1503014400","94090773.62500","27532.8421781475","292.62"
"8/19/2017","1503100800","94113338.00000","27577.09030076","293.02"
"8/20/2017","1503187200","94135470.50000","28071.1973031","298.20"
"8/21/2017","1503273600","94158216.28125","30304.8219101203125","321.85"
"8/22/2017","1503360000","94180738.93750","29513.418160844375","313.37"
"8/23/2017","1503446400","94203348.93750","29900.1429527625","317.40"
"8/24/2017","1503532800","94225880.65625","30649.794459865","325.28"
"8/25/2017","1503619200","94244701.43750","31106.40615646125","330.06"
"8/26/2017","1503705600","94263267.21875","31376.471126433125","332.86"
"8/27/2017","1503792000","94281902.68750","32798.7883069275","347.88"
"8/28/2017","1503878400","94300328.15625","32784.452086801875","347.66"
"8/29/2017","1503964800","94319408.31250","35119.831685159375","372.35"
"8/30/2017","1504051200","94338352.21875","36212.719882689375","383.86"
"8/31/2017","1504137600","94357118.31250","36641.699754293125","388.33"
"9/1/2017","1504224000","94375947.68750","36940.63344384125","391.42"
"9/2/2017","1504310400","94394795.81250","33135.405174061875","351.03"
"9/3/2017","1504396800","94413437.84375","33276.0161680296875","352.45"
"9/4/2017","1504483200","94432358.93750","28679.10740931875","303.70"
"9/5/2017","1504569600","94451460.18750","30029.89725201375","317.94"
"9/6/2017","1504656000","94470348.46875","32017.89050302875","338.92"
"9/7/2017","1504742400","94489481.12500","31688.93728489125","335.37"
"9/8/2017","1504828800","94508748.31250","28987.72328241","306.72"
"9/9/2017","1504915200","94527784.09375","28716.5955298403125","303.79"
"9/10/2017","1505001600","94546772.84375","28289.3399025784375","299.21"
"9/11/2017","1505088000","94565618.93750","28175.826162428125","297.95"
"9/12/2017","1505174400","94584931.43750","27817.42833576875","294.10"
"9/13/2017","1505260800","94603829.71875","26095.52038962","275.84"
"9/14/2017","1505347200","94623119.40625","21114.202864310625","223.14"
"9/15/2017","1505433600","94642655.81250","24566.394169250625","259.57"
"9/16/2017","1505520000","94661993.78125","24090.5307973903125","254.49"
"9/17/2017","1505606400","94681215.81250","24465.62616595","258.40"
"9/18/2017","1505692800","94700280.81250","28176.174550143125","297.53"
"9/19/2017","1505779200","94719653.78125","26805.66202009375","283.00"
"9/20/2017","1505865600","94738835.81250","26864.1442829925","283.56"
"9/21/2017","1505952000","94758172.21875","24425.8140528271875","257.77"
"9/22/2017","1506038400","94773915.81250","24919.85342373875","262.94"
"9/23/2017","1506124800","94788921.59375","27122.902024835625","286.14"
"9/24/2017","1506211200","94804383.00000","26791.7186358","282.60"
"9/25/2017","1506297600","94819257.37500","27961.25080731375","294.89"
"9/26/2017","1506384000","94834464.25000","27373.01976112","288.64"
"9/27/2017","1506470400","94849875.34375","29400.6158603021875","309.97"
"9/28/2017","1506556800","94864873.31250","28722.237692825625","302.77"
"9/29/2017","1506643200","94879725.81250","27759.91017822125","292.58"
"9/30/2017","1506729600","94894657.21875","28731.2553661209375","302.77"
"10/1/2017","1506816000","94909789.87500","28847.83063250625","303.95"
"10/2/2017","1506902400","94924879.09375","28174.6533638159375","296.81"
"10/3/2017","1506988800","94940057.53125","27704.4581881940625","291.81"
"10/4/2017","1507075200","94955375.96875","27696.584062565","291.68"
"10/5/2017","1507161600","94970853.00000","28015.45192647","294.99"
"10/6/2017","1507248000","94985877.06250","29286.995474680625","308.33"
"10/7/2017","1507334400","95000892.21875","29569.977712008125","311.26"
"10/8/2017","1507420800","95016091.75000","29406.5302357075","309.49"
"10/9/2017","1507507200","95031300.50000","28219.544683475","296.95"
"10/10/2017","1507593600","95046784.87500","28367.6634137925","298.46"
"10/11/2017","1507680000","95062284.71875","28790.563549920625","302.86"
"10/12/2017","1507766400","95077676.28125","28798.0773688278125","302.89"
"10/13/2017","1507852800","95093113.46875","32030.2134096790625","336.83"
"10/14/2017","1507939200","95108431.28125","32223.6876024003125","338.81"
"10/15/2017","1508025600","95124011.43750","32016.83976963375","336.58"
"10/16/2017","1508112000","95140181.00000","31798.70269563","334.23"
"10/17/2017","1508198400","95160328.25000","30083.986172955","316.14"
"10/18/2017","1508284800","95180705.65625","29842.958451460625","313.54"
"10/19/2017","1508371200","95201131.81250","29265.779930480625","307.41"
"10/20/2017","1508457600","95221606.81250","28859.7645927325","303.08"
"10/21/2017","1508544000","95241750.03125","28529.6662218609375","299.55"
"10/22/2017","1508630400","95262134.28125","28009.9253427159375","294.03"
"10/23/2017","1508716800","95282604.68750","27181.268639203125","285.27"
"10/24/2017","1508803200","95303134.15625","28257.379277328125","296.50"
"10/25/2017","1508889600","95323352.37500","28249.07547633125","296.35"
"10/26/2017","1508976000","95343550.53125","28177.832924005625","295.54"
"10/27/2017","1509062400","95364021.78125","28262.08149509125","296.36"
"10/28/2017","1509148800","95384467.15625","27981.0334402859375","293.35"
"10/29/2017","1509235200","95404755.96875","29006.86200473875","304.04"
"10/30/2017","1509321600","95424854.56250","29276.345379775","306.80"
"10/31/2017","1509408000","95445491.00000","28981.06888724","303.64"
"11/1/2017","1509494400","95465719.34375","27629.688492468125","289.42"
"11/2/2017","1509580800","95486016.12500","27205.875714335","284.92"
"11/3/2017","1509667200","95506325.56250","29082.631197036875","304.51"
"11/4/2017","1509753600","95526513.87500","28661.775223055","300.04"
"11/5/2017","1509840000","95547106.34375","28303.9193122090625","296.23"
"11/6/2017","1509926400","95567346.96875","28366.299927264375","296.82"
"11/7/2017","1510012800","95587760.75000","27896.33209728","291.84"
"11/8/2017","1510099200","95608013.65625","29385.1229972484375","307.35"
"11/9/2017","1510185600","95628326.75000","30568.550928905","319.66"
"11/10/2017","1510272000","95648853.59375","28394.318677840625","296.86"
"11/11/2017","1510358400","95669271.87500","30062.15530128125","314.23"
"11/12/2017","1510444800","95689482.59375","29282.895463339375","306.02"
"11/13/2017","1510531200","95709903.78125","30110.33572958125","314.60"
"11/14/2017","1510617600","95729953.81250","32042.73014012","334.72"
"11/15/2017","1510704000","95750447.37500","31712.5481706","331.20"
"11/16/2017","1510790400","95770669.90625","31634.9676834325","330.32"
"11/17/2017","1510876800","95791033.90625","31775.80176738125","331.72"
"11/18/2017","1510963200","95811365.84375","33213.0099697359375","346.65"
